short_name,country_name,country_id
INDIA,India,168
SINGAPOR,Singapore,311
SYRIA,Syria (Arab Rep.),335
KUWAIT,Kuwait,194
LATVIAESTAT,LATVIA,216
USA,United States of America,371
BERMUDA,Bermuda,41
ANGOLOPEC,Angola,11
ECUADOR,Ecuador,100
GUYANA,Guyana,146
ESTONIA,Estonia,104
INDOAPEC,Indonesia,161
CUBA,Cuba,79
PARAGUAY,Paraguay,295
QATAR,Qatar,297
NETHLAND,Netherlands,260
AUSTRAPEC,Australia,20
CHINA,China,69
MEXOLADE,Mexico,248
COLOMBIA,Colombia,70
URUGUAY,Uruguay,373
PAPUANG,Papua New Guinea,279
NORWAY,Norway,262
ALBANIA,Albania,7
LITHUANIA,Lithuania,211
GUATEMAL,Guatemala,142
MOLDOVA,Republic of Moldova,224
SWEDEN,Sweden,309
IRAQ,Iraq,171
SWITLAND,Switzerland,59
TURKEY,Turkey,356
IRELAND,Ireland,166
BELGIUM,Belgium,28
CYPRUS,Cyprus,82
LUXEMBOU,Luxembourg,214
CHILEOLADE,Chile,66
PERUAPEC,Peru,277
BRUNEI,Brunei Darussalam,43
ECUADALL,Ecuador,100
NZAPEC,New Zealand,267
GERMANY,Germany,87
KOREAPEC,Korea,193
VENEZOPEC,Venezuela,376
PERUOLADE,Peru,277
ELSALVADOR,El Salvador,329
AUSTRIA,Austria,18
BOLIVIA,Bolivia,44
HUNGARY,Hungary,157
YEMEN,Yemen,387
PHILIPP,Philippines,280
CANAPEC,Canada,54
HONGKONG,Hong Kong China,148
RUSSIA,Russian Federation,301
ANGOLA,Angola,11
OMAN,Oman,270
MEXAPEC,Mexico,248
ECUADOPEC,Ecuador,100
FRANCE,France,118
UKRAINE,Ukraine,366
AZERBAIJAN,Azerbaijan,23
SURINAME,Surinam,321
BAHRAIN,Bahrain,35
HAITI,Haiti,155
PORTUGAL,Portugal,294
MYANUNSD,Myanmar,236
VIETNAM,Vietnam,380
HONDURAS,Honduras,150
BELARUS,Belarus,52
INDONESIA,Indonesia,161
BELIZE,Belize,53
DENMARK,Denmark,90
BARBADOS,Barbados,25
DOMINICANR,Dominican Republic,93
FYROM,The former Yugoslav Rep. of Macedonia,232
LIBYA,Libya,218
INDOOPEC,Indonesia,161
USAAPEC,United States of America,371
CROATIA,Croatia,153
ICELAND,Iceland,176
SPAIN,Spain,109
SARABIA,Saudi Arabia,304
GABON,Gabon,122
JAPANAPEC,Japan,184
KOREA,Korea,193
VENEZUELA,Venezuela,376
KAZAKHSTAN,Kazakhstan,196
JAPAN,Japan,184
NIGERIA,Nigeria,256
NZ,New Zealand,267
FINLAND,Finland,115
MYANMAR,Myanmar,236
SAFRICA,South Africa,389
SLOVENIA,Slovenia,313
COSTARIC,Costa Rica,76
GEORGIA,Georgia,127
ROMANIA,Romania,299
EQGUINEA,Equatorial Guinea,137
SUDAN,Sudan,307
ITALY,Italy,179
MALTA,Malta,244
ANGOLALL,Angola,11
TAIPEI,Chinese Taipei,364
ALGERIA,Algeria,95
NICARAGUA,Nicaragua,258
BULGARIA,Bulgaria,32
ARGENTIN,Argentina,12
BANGLADESH,Bangladesh,26
GRENADA,Grenada,126
CHILE,Chile,66
AUSTRALI,Australia,20
PANAMA,Panama,274
GAMBIA,Gambia,133
EGYPT,Egypt (Arab Rep.),105
GREECE,Greece,138
MEXICO,Mexico,248
POLAND,Poland,282
IRAN,Iran (Islamic Rep.),172
TUNISIA,Tunisia,354
ESWATINI,Eswatini,338
TRINIDAD,Trinidad/Tobago,359
ARMENIA,Armenia,9
JAMAICA,Jamaica,182
CZECH,Czech Republic,85
SLOVAKIA,Slovakia,314
THAILAND,Thailand,345
MAURITIUS,Mauritius,245
NEPAL,Nepal,264
TAJIKISTAN,Tajikistan,347
MALAYSIA,Malaysia,249
UK,United Kingdom,124
LATVIA,Latvia,216
CANADA,Canada,54
CHILEAPEC,Chile,66
NIGER,Niger,254
MOROCCO,Morocco,219
UAE,United Arab Emirates,2
BRAZIL,Brazil,46
