date,year,entity,entity_code,price_usd
1861-01-01,1861,World,OWID_WRL,3.0820022
1862-01-01,1862,World,OWID_WRL,6.6042895
1863-01-01,1863,World,OWID_WRL,19.81287
1864-01-01,1864,World,OWID_WRL,50.69579
1865-01-01,1865,World,OWID_WRL,41.449783
1866-01-01,1866,World,OWID_WRL,23.523851
1867-01-01,1867,World,OWID_WRL,15.158419
1868-01-01,1868,World,OWID_WRL,22.831974
1869-01-01,1869,World,OWID_WRL,22.894873
1870-01-01,1870,World,OWID_WRL,24.278627
1871-01-01,1871,World,OWID_WRL,27.297733
1872-01-01,1872,World,OWID_WRL,22.894873
1873-01-01,1873,World,OWID_WRL,11.510334
1874-01-01,1874,World,OWID_WRL,7.3590655
1875-01-01,1875,World,OWID_WRL,8.49123
1876-01-01,1876,World,OWID_WRL,16.101887
1877-01-01,1877,World,OWID_WRL,15.221316
1878-01-01,1878,World,OWID_WRL,7.4848623
1879-01-01,1879,World,OWID_WRL,5.4092283
1880-01-01,1880,World,OWID_WRL,5.97531
1881-01-01,1881,World,OWID_WRL,5.4092283
1882-01-01,1882,World,OWID_WRL,4.906044
1883-01-01,1883,World,OWID_WRL,6.2898
1884-01-01,1884,World,OWID_WRL,5.283432
1885-01-01,1885,World,OWID_WRL,5.535024
1886-01-01,1886,World,OWID_WRL,4.465758
1887-01-01,1887,World,OWID_WRL,4.214166
1888-01-01,1888,World,OWID_WRL,5.535024
1889-01-01,1889,World,OWID_WRL,5.912412
1890-01-01,1890,World,OWID_WRL,5.472126
1891-01-01,1891,World,OWID_WRL,4.214166
1892-01-01,1892,World,OWID_WRL,3.522288
1893-01-01,1893,World,OWID_WRL,4.0254717
1894-01-01,1894,World,OWID_WRL,5.283432
1895-01-01,1895,World,OWID_WRL,8.554128
1896-01-01,1896,World,OWID_WRL,7.4219637
1897-01-01,1897,World,OWID_WRL,4.968942
1898-01-01,1898,World,OWID_WRL,5.723718
1899-01-01,1899,World,OWID_WRL,8.113842
1900-01-01,1900,World,OWID_WRL,7.4848623
1901-01-01,1901,World,OWID_WRL,6.038208
1902-01-01,1902,World,OWID_WRL,5.03184
1903-01-01,1903,World,OWID_WRL,5.912412
1904-01-01,1904,World,OWID_WRL,5.4092283
1905-01-01,1905,World,OWID_WRL,3.899676
1906-01-01,1906,World,OWID_WRL,4.591554
1907-01-01,1907,World,OWID_WRL,4.528656
1908-01-01,1908,World,OWID_WRL,4.528656
1909-01-01,1909,World,OWID_WRL,4.4028597
1910-01-01,1910,World,OWID_WRL,3.8367782
1911-01-01,1911,World,OWID_WRL,3.8367782
1912-01-01,1912,World,OWID_WRL,4.654452
1913-01-01,1913,World,OWID_WRL,5.97531
1914-01-01,1914,World,OWID_WRL,5.094738
1915-01-01,1915,World,OWID_WRL,4.0254717
1916-01-01,1916,World,OWID_WRL,6.9187803
1917-01-01,1917,World,OWID_WRL,9.812088
1918-01-01,1918,World,OWID_WRL,12.453804
1919-01-01,1919,World,OWID_WRL,12.642498
